ID_team,Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1000,CLE,20,17,3,0.85,48.0,122.4,45.6,89.2,51.1,15.2,37.7,40.2,16.0,20.3,78.8,9.3,33.7,42.9,28.2,13.1,9.3,4.9,4.5,18.5,18.4,9.8
2000,BOS,19,16,3,0.842,48.8,121.2,41.8,90.3,46.4,19.2,50.7,37.8,18.3,22.7,80.6,10.1,33.2,43.3,25.9,11.6,7.3,5.3,3.8,16.6,19.6,10.6
3000,OKC,19,15,4,0.789,48.0,113.9,42.2,91.9,45.9,13.5,39.2,34.5,15.9,19.8,80.4,10.0,33.1,43.1,25.2,12.0,11.9,6.7,4.9,20.9,18.4,10.7
4000,HOU,20,14,6,0.7,48.8,114.4,42.1,95.3,44.1,11.8,35.8,32.9,18.5,24.1,76.8,14.2,35.8,50.0,23.2,13.4,9.4,5.8,6.8,20.6,20.5,8.5
5000,ORL,21,14,7,0.667,48.0,108.4,38.7,85.8,45.1,12.3,38.5,31.9,18.7,23.7,78.9,10.5,31.5,42.0,24.9,14.5,9.4,6.9,4.3,19.7,21.7,5.7
6000,MEM,20,13,7,0.65,48.0,121.0,44.7,91.9,48.6,12.9,36.7,35.0,18.7,24.4,76.8,12.5,35.8,48.3,30.4,17.1,8.3,7.3,5.2,21.1,21.5,8.5
7000,GSW,19,12,7,0.632,48.3,116.2,42.5,92.9,45.7,15.8,42.2,37.6,15.4,21.9,70.2,13.4,35.6,49.0,29.9,14.3,9.1,5.5,6.1,21.2,18.6,6.4
8000,DAL,20,12,8,0.6,48.3,117.0,43.7,90.6,48.3,12.6,35.1,35.8,17.0,22.0,77.4,11.6,34.0,45.6,25.6,13.4,8.0,5.4,4.6,20.9,18.6,6.5
9000,DEN,17,10,7,0.588,48.6,117.8,42.9,89.5,48.0,12.5,32.2,38.9,19.4,25.2,76.9,11.8,33.1,44.8,29.9,14.1,8.6,4.8,6.2,18.6,21.4,1.9
10000,LAL,19,11,8,0.579,48.0,114.4,41.3,85.8,48.1,12.3,33.9,36.3,19.6,25.0,78.3,9.0,31.5,40.5,26.9,12.9,7.4,4.5,4.1,16.1,21.1,-1.3
