,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
1,Giannis Antetokounmpo,MIL,29,17,9,8,35.2,32.9,13.2,21.6,60.9,0.2,0.8,21.4,6.4,10.5,61.2,2.1,9.8,11.9,6.6,3.3,0.5,1.4,2.7,59.8,15.0,3.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LaMelo Ball,CHA,23,18,6,12,34.1,31.1,10.7,24.9,43.0,4.7,13.1,35.6,4.9,5.8,84.8,0.9,4.4,5.4,6.9,4.5,1.1,0.2,4.1,47.4,4.0,0.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Shai Gilgeous-Alexander,OKC,26,19,15,4,34.5,29.8,10.4,20.7,50.3,2.1,6.1,33.9,6.9,8.1,85.7,0.9,4.4,5.3,6.6,2.8,1.7,1.1,1.9,51.6,2.0,0.0,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nikola Jokić,DEN,29,14,9,5,37.3,29.7,11.1,19.5,56.8,2.2,4.1,53.4,5.4,6.4,83.3,4.2,8.9,13.1,10.6,3.6,1.5,0.9,1.8,64.9,12.0,7.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Paolo Banchero,ORL,22,5,3,2,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50.0,2.0,0.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jayson Tatum,BOS,26,19,16,3,36.3,28.7,9.1,19.7,46.1,4.0,10.6,37.8,6.5,8.2,79.5,0.5,8.1,8.5,5.8,2.8,1.4,0.6,2.5,50.7,8.0,0.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Anthony Davis,LAL,31,18,11,7,35.3,28.4,10.1,18.2,55.5,0.7,2.0,36.1,7.4,9.6,77.9,2.7,8.9,11.6,3.4,2.0,1.3,2.1,2.0,55.3,12.0,0.0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Luka Dončić,DAL,25,14,7,7,36.7,28.1,9.9,22.6,43.5,3.2,9.9,32.4,5.1,6.6,78.3,0.6,7.1,7.6,7.6,3.3,1.6,0.4,2.8,51.2,4.0,0.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,De'Aaron Fox,SAC,26,20,9,11,37.8,27.7,10.1,20.2,49.9,2.1,6.2,33.9,5.5,6.9,80.3,0.9,4.1,5.0,5.8,3.7,1.6,0.1,2.7,43.7,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Anthony Edwards,MIN,23,19,9,10,37.5,27.7,9.6,21.2,45.3,4.7,10.9,42.8,3.8,4.8,80.2,0.7,4.7,5.4,3.7,3.0,1.3,0.6,2.0,42.4,1.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kevin Durant,PHX,36,12,10,2,37.3,26.8,9.6,18.0,53.2,2.8,6.3,43.4,4.9,6.1,80.8,0.3,6.7,6.9,3.2,3.3,0.6,1.6,1.8,43.1,1.0,0.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Damian Lillard,MIL,34,16,8,8,36.2,25.9,7.9,18.0,44.1,3.3,9.2,36.1,6.8,7.3,92.3,0.6,3.9,4.5,7.8,2.8,1.0,0.3,1.9,44.1,5.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tyrese Maxey,PHI,24,12,3,9,36.2,25.9,9.3,22.2,41.7,3.3,9.8,33.3,4.2,4.9,84.7,0.2,3.0,3.2,4.5,1.8,2.0,0.3,2.7,41.6,1.0,0.0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jalen Brunson,NYK,28,19,11,8,34.9,25.9,8.9,18.3,49.0,2.5,6.2,41.0,5.5,6.5,83.9,0.4,2.6,3.0,7.8,2.3,0.7,0.1,2.4,41.1,5.0,0.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Karl-Anthony Towns,NYK,29,18,10,8,33.8,25.8,9.3,17.3,54.0,2.4,5.2,46.8,4.7,5.6,85.0,2.9,9.7,12.7,3.3,2.2,0.8,0.8,3.4,48.6,16.0,0.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Kyrie Irving,DAL,32,19,12,7,35.4,24.8,9.3,18.4,50.4,3.2,6.9,46.6,3.1,3.5,87.9,1.2,3.7,4.8,5.6,2.1,1.2,0.2,2.3,41.2,0.0,0.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
